price,assess,bdrms,lotsize,sqrft
300,349.1000061,4,6126,2438
370,351.5,3,9903,2076
191,217.6999969,3,5200,1374
195,231.8000031,3,4600,1448
373,319.1000061,4,6095,2514
466.2749939,414.5,5,8566,2754
332.5,367.7999878,3,9000,2067
315,300.2000122,3,6210,1731
206,236.1000061,3,6000,1767
240,256.2999878,3,2892,1890
285,314,4,6000,2336
300,416.5,5,7047,2634
405,434,3,12237,3375
212,279.2999878,3,6460,1899
265,287.5,3,6519,2312
227.3999939,232.8999939,4,3597,1760
240,303.7999878,4,5922,2000
285,305.6000061,3,7123,1774
268,266.7000122,3,5642,1376
310,326,4,8602,1835
266,294.2999878,3,5494,2048
270,318.7999878,3,7800,2124
225,294.2000122,3,6003,1768
150,208,4,5218,1732
247,239.6999969,3,9425,1440
275,294.1000061,3,6114,1932
230,267.3999939,3,6710,1932
343,359.8999939,3,8577,2106
477.5,478.1000061,7,8400,3529
350,355.2999878,4,9773,2051
230,217.8000031,4,4806,1573
335,385,4,15086,2829
251,224.3000031,3,5763,1630
235,251.8999939,4,6383,1840
361,354.8999939,4,9000,2066
190,212.5,4,3500,1702
360,452.3999939,4,10892,2750
575,518.0999756,5,15634,3880
209.0010071,289.3999939,4,6400,1854
225,268.1000061,2,8880,1421
246,278.5,3,6314,1662
713.5,655.4000244,5,28231,3331
248,273.2999878,4,7050,1656
230,212.1000061,3,5305,1171
375,354,5,6637,2293
265,252.1000061,3,7834,1764
313,324,3,1000,2768
417.5,475.5,4,8112,3733
253,256.7999878,3,5850,1536
315,279.2000122,4,6660,1638
264,313.8999939,3,6637,1972
255,279.7999878,2,15267,1478
210,198.6999969,3,5146,1408
180,221.5,3,6017,1812
250,268.3999939,3,8410,1722
250,282.2999878,4,5625,1780
209,230.6999969,4,5600,1674
258,287,4,6525,1850
289,298.7000122,3,6060,1925
316,314.6000061,4,5539,2343
225,291,3,7566,1567
266,286.3999939,4,5484,1664
310,253.6000061,6,5348,1386
471.25,482,5,15834,2617
335,384.2999878,4,8022,2321
495,543.5999756,4,11966,2638
279.5,336.5,4,8460,1915
380,515.0999756,4,15105,2589
325,437,4,10859,2709
220,263.3999939,3,6300,1587
215,300.3999939,3,11554,1694
240,250.6999969,3,6000,1536
725,708.5999756,5,31000,3662
230,276.2999878,3,4054,1736
306,388.6000061,2,20700,2205
425,252.5,3,5525,1502
318,295.2000122,4,92681,1696
330,359.5,3,8178,2186
246,276.2000122,4,5944,1928
225,249.8000031,3,18838,1294
111,202.3999939,4,4315,1535
268.125,254,3,5167,1980
244,306.7999878,4,7893,2090
295,318.2999878,3,6056,1837
236,259.3999939,3,5828,1715
202.5,258.1000061,3,6341,1574
219,232,2,6362,1185
242,252,4,4950,1774
360,330.4,3,9980,1931
226,266,4,3900,2513
323,368,2,19586,2716
283,276.7,3,5796,2618
356,331.1,4,6471,2338
564,514,5,16699,3748
345,272.7,3,4974,1331
321,321.3,3,2127,3491
455,470.8,4,15721,2953
309,259.4,6,4588,1135
203,229.2,4,3306,1505
265,325.9,4,9663,1639
294,393.3,5,6674,4292
247,278.3,3,8543,1552
205,291.3,3,6405,2177
457,266.6,4,6162,1822
265,239.8,2,15452,700
341,349.5,4,8489,1879
259,327.2,4,5735,1491
335,347,3,7235,2209
213,302.7,3,5040,1582
245,295.9,3,7605,1642
729,751.3,5,30645,4018
334,357.6,4,9974,1588
385,507.8,4,16467,2885
209,237,4,3907,1727
262,314.8,4,4153,3789
193,235.8,4,5029,1494
259,299.5,3,4520,2634
229,318.3,4,6983,2582
263,261.7,3,5557,1066
281,264,3,5000,1471
222,231.7,3,10473,2195
330,314.9,3,5759,1400
346,400.6,4,8273,1483
294,299,4,5054,2297
224,329.4,4,11117,1356
235,256.2,4,18106,2183
210,225.4,2,8123,1500
274,302.7,3,6251,1406
260,256.4,3,4376,1983
234,309.4,4,5470,1204
515,528.8,4,11448,2481
349,427.1,4,10698,3193
423,445,5,6815,4629
325,368.8,4,4241,2228
322,366.4,3,9633,2121
372,353.9,4,8553,2371
233,281,3,5438,1587
212,304.8,4,9388,1903
